aci,2,11001110,8
adc,1,10001SSS,2
add,1,10000SSS,2
adi,2,11000110,8
ana,1,10100SSS,2
ani,2,11100110,8
call,3,11001101,10
cc,3,11011100,10
cm,3,11111100,10
cma,1,00101111,1
cmc,1,00111111,1
cmp,1,10111SSS,2
cnc,3,11010100,10
cnz,3,11000100,10
cp,3,11110100,10
cpe,3,11101100,10
cpi,2,11111110,8
cpo,3,11100100,10
cz,3,11001100,10
daa,1,00100111,1
dad,1,00RP1001,4
dcr,1,00DDD101,3
dcx,1,00RP1011,4
di,1,11110011,1
ei,1,11111011,1
hlt,1,01110110,1
in,2,11011011,8
inr,1,00DDD100,3
inx,1,00RP0011,4
jc,3,11011010,10
jm,3,11111010,10
jmp,3,11000011,10
jnc,3,11010010,10
jnz,3,11000010,10
jp,3,11110010,10
jpe,3,11101010,10
jpo,3,11100010,10
jz,3,11001010,10
lda,3,00111010,10
ldax,1,000R1010,5
lhld,3,00101010,10
lxi,3,00RP0001,10
mov,1,01DDDSSS,7
mvi,2,00DDD110,9
nop,1,00000000,1
ora,1,10110SSS,2
ori,2,11110110,8
out,2,11010011,8
pchl,1,11101001,1
pop,1,11RP0001,4
push,1,11RP0101,4
ral,1,00010111,1
rar,1,00011111,1
rc,1,11011000,1
ret,1,11001001,1
rim,1,00100000,1
rlc,1,00000111,1
rm,1,11111000,1
rnc,1,11010000,1
rnz,1,11000000,1
rp,1,11110000,1
rpe,1,11101000,1
rpo,1,11100000,1
rrc,1,00001111,1
rst,1,11CCC111,6
rz,1,11001000,1
sbb,1,10011SSS,2
sbi,2,11011110,8
shld,3,00100010,10
sim,1,00110000,1
sphl,1,11111001,1
sta,3,00110010,10
stax,1,000R0010,5
stc,1,00110111,1
sub,1,10010SSS,2
sui,2,11010110,8
xchg,1,11101011,1
xra,1,10101SSS,2
xri,2,11101110,8
xthl,1,11100011,1
db,1,00000000,11
equ,1,00000000,12
ds,1,00000000,13
org,1,00000000,14
